mets	metBiGGID	metChEBIID	metEHMNID	metHMDBID	metHMR2ID	metHepatoNET1ID	metKEGGID	metLipidMapsID	metMetaNetXID	metPubChemID	metRecon3DID	metRetired	metsNoComp
"MAM00822c"	""	""	""	""	"m00822c"	""	"C04726"	""	"MNXM96099"	""	"M00822"	"m00822c"	"MAM00822"
"MAM00823c"	""	""	""	""	"m00823c"	""	"C01308"	""	"MNXM92055"	""	"M00823"	"m00823c"	"MAM00823"
"MAM00824c"	"3mob"	"CHEBI:16530"	""	"HMDB0000019"	"m00824c"	"HC00139"	"C00141"	""	"MNXM238"	"49"	"3mob"	"m00824c"	"MAM00824"
"MAM00824m"	"3mob"	"CHEBI:16530"	""	"HMDB0000019"	"m00824m"	"HC00139"	"C00141"	""	"MNXM238"	"49"	"3mob"	"m00824m"	"MAM00824"
"MAM00825m"	""	""	"CE2026"	""	"m00825m"	""	""	""	"MNXM166207"	"169485"	"CE2026"	"m00825m"	"MAM00825"
"MAM00826m"	"3mb2coa"	"CHEBI:15486"	""	"HMDB0001493"	"m00826m"	"HC01047"	"C03069"	""	"MNXM389"	"439869"	"3mb2coa"	"m00826m"	"MAM00826"
"MAM00827m"	"3mgcoa"	"CHEBI:15488"	""	""	"m00827m"	"HC01081"	"C03231"	""	"MNXM91417"	"5462214"	"3mgcoa"	"m00827m"	"MAM00827"
"MAM00828c"	""	""	"CE2874"	""	"m00828c"	""	""	""	"MNXM169240"	""	"CE2874"	"m00828c"	"MAM00828"
"MAM00828r"	""	""	"CE2874"	""	"m00828r"	""	""	""	"MNXM169240"	""	"CE2874"	"m00828r"	"MAM00828"
"MAM00829c"	""	""	"CE2875"	""	"m00829c"	""	""	""	"MNXM150752"	""	"CE2875"	"m00829c"	"MAM00829"
"MAM00830c"	""	""	"CE2176"	"HMDB0001434"	"m00830c"	""	""	""	"MNXM10073"	"1670"	"CE2176"	"m00830c"	"MAM00830"
"MAM00831m"	""	""	"CE4796"	""	"m00831m"	""	""	""	"MNXM150995"	""	"CE4796"	"m00831m"	"MAM00831"
"MAM00832x"	""	""	"CE5942"	""	"m00832p"	""	""	""	""	""	"CE5942"	"m00832p"	"MAM00832"
"MAM00833x"	""	""	"CE5939"	""	"m00833p"	""	""	""	""	""	"CE5939"	"m00833p"	"MAM00833"
"MAM00834m"	""	""	"CE2439"	""	"m00834m"	""	""	""	""	""	"CE2439"	"m00834m"	"MAM00834"
"MAM00834x"	""	""	"CE2439"	""	"m00834p"	""	""	""	""	""	"CE2439"	"m00834p"	"MAM00834"
"MAM00835c"	""	""	"CE5307"	""	"m00835c"	""	""	""	"MNXM163671"	""	"CE5307"	"m00835c"	"MAM00835"
"MAM00835m"	""	""	"CE5307"	""	"m00835m"	""	""	""	"MNXM163671"	""	"CE5307"	"m00835m"	"MAM00835"
"MAM00835x"	""	""	"CE5307"	""	"m00835p"	""	""	""	"MNXM163671"	""	"CE5307"	"m00835p"	"MAM00835"
"MAM00836m"	""	""	"CE5346"	""	"m00836m"	""	""	""	"MNXM162902"	""	"CE5346"	"m00836m"	"MAM00836"
"MAM00836x"	""	""	"CE5346"	""	"m00836p"	""	""	""	"MNXM162902"	""	"CE5346"	"m00836p"	"MAM00836"
"MAM00837c"	""	""	"CE5319"	""	"m00837c"	""	""	""	"MNXM163672"	""	"CE5319"	"m00837c"	"MAM00837"
"MAM00837m"	""	""	"CE5319"	""	"m00837m"	""	""	""	"MNXM163672"	""	"CE5319"	"m00837m"	"MAM00837"
"MAM00837x"	""	""	"CE5319"	""	"m00837p"	""	""	""	"MNXM163672"	""	"CE5319"	"m00837p"	"MAM00837"
"MAM00838m"	""	""	"CE5337"	""	"m00838m"	""	""	""	"MNXM162903"	""	"CE5337"	"m00838m"	"MAM00838"
"MAM00838x"	""	""	"CE5337"	""	"m00838p"	""	""	""	"MNXM162903"	""	"CE5337"	"m00838p"	"MAM00838"
"MAM00839c"	""	""	""	""	"m00839c"	""	""	""	""	""	"M00839"	"m00839c"	"MAM00839"
"MAM00840c"	""	""	"CE5144"	""	"m00840c"	""	""	""	"MNXM163188"	""	"CE5144"	"m00840c"	"MAM00840"
"MAM00840m"	""	""	"CE5144"	""	"m00840m"	""	""	""	"MNXM163188"	""	"CE5144"	"m00840m"	"MAM00840"
"MAM00840x"	""	""	"CE5144"	""	"m00840p"	""	""	""	"MNXM163188"	""	"CE5144"	"m00840p"	"MAM00840"
"MAM00841m"	""	""	""	""	"m00841m"	""	""	""	"MNXM146084"	""	"M00841"	"m00841m"	"MAM00841"
"MAM00841x"	""	""	""	""	"m00841p"	""	""	""	"MNXM146084"	""	"M00841"	"m00841p"	"MAM00841"
"MAM00842c"	""	""	"CE5152"	""	"m00842c"	""	""	""	"MNXM163189"	""	"CE5152"	"m00842c"	"MAM00842"
"MAM00842m"	""	""	"CE5152"	""	"m00842m"	""	""	""	"MNXM163189"	""	"CE5152"	"m00842m"	"MAM00842"
"MAM00842x"	""	""	"CE5152"	""	"m00842p"	""	""	""	"MNXM163189"	""	"CE5152"	"m00842p"	"MAM00842"
"MAM00843c"	""	""	""	""	"m00843c"	""	""	""	""	""	"M00843"	"m00843c"	"MAM00843"
"MAM00843m"	""	""	""	""	"m00843m"	""	""	""	""	""	"M00843"	"m00843m"	"MAM00843"
"MAM00843x"	""	""	""	""	"m00843p"	""	""	""	""	""	"M00843"	"m00843p"	"MAM00843"
"MAM00844m"	""	""	"CE4803"	""	"m00844m"	""	""	""	"MNXM150999"	""	"CE4803"	"m00844m"	"MAM00844"
"MAM00845m"	""	""	"CE4804"	""	"m00845m"	""	""	""	"MNXM151000"	""	"CE4804"	"m00845m"	"MAM00845"
"MAM00846m"	""	""	"CE5966"	""	"m00846m"	""	""	""	"MNXM91381"	""	"CE5966"	"m00846m"	"MAM00846"
"MAM00846x"	""	""	"CE5966"	""	"m00846p"	""	""	""	"MNXM91381"	""	"CE5966"	"m00846p"	"MAM00846"
"MAM00847m"	""	""	"CE5308"	""	"m00847m"	""	""	""	"MNXM91381"	""	"CE5308"	"m00847m"	"MAM00847"
"MAM00848m"	""	""	"CE5320"	""	"m00848m"	""	""	""	"MNXM91381"	""	"CE5320"	"m00848m"	"MAM00848"
"MAM00849m"	""	""	""	""	"m00849m"	""	""	""	""	""	"M00849"	"m00849m"	"MAM00849"
"MAM00849x"	""	""	""	""	"m00849p"	""	""	""	""	""	"M00849"	"m00849p"	"MAM00849"
"MAM00850m"	""	""	"CE5309"	""	"m00850m"	""	""	""	"MNXM91381"	""	"CE5309"	"m00850m"	"MAM00850"
"MAM00851m"	""	""	"CE5321"	""	"m00851m"	""	""	""	"MNXM91381"	""	"CE5321"	"m00851m"	"MAM00851"
"MAM00852c"	""	""	""	""	"m00852c"	""	""	""	""	""	"M00852"	"m00852c"	"MAM00852"
"MAM00853x"	""	""	"CE4820"	""	"m00853p"	""	""	""	"MNXM164259"	""	"CE4820"	"m00853p"	"MAM00853"
"MAM00854m"	""	""	"CE2424"	""	"m00854m"	""	""	""	"MNXM166234"	""	"CE2424"	"m00854m"	"MAM00854"
"MAM00854x"	""	""	"CE2424"	""	"m00854p"	""	""	""	"MNXM166234"	""	"CE2424"	"m00854p"	"MAM00854"
"MAM00855m"	""	""	"CE2422"	""	"m00855m"	""	""	""	"MNXM166235"	""	"CE2422"	"m00855m"	"MAM00855"
"MAM00855x"	""	""	"CE2422"	""	"m00855p"	""	""	""	"MNXM166235"	""	"CE2422"	"m00855p"	"MAM00855"
"MAM00856c"	""	""	"CE5156"	""	"m00856c"	""	""	""	"MNXM163190"	""	"CE5156"	"m00856c"	"MAM00856"
"MAM00856x"	""	""	"CE5156"	""	"m00856p"	""	""	""	"MNXM163190"	""	"CE5156"	"m00856p"	"MAM00856"
"MAM00857c"	""	""	""	""	"m00857c"	"HC01596"	"C05753"	""	"MNXM26616"	""	"HC01596"	"m00857c"	"MAM00857"
"MAM00858m"	"3odcoa"	"CHEBI:28528"	""	""	"m00858m"	"HC01404"	"C05265"	""	"MNXM677"	"440606"	"3odcoa"	"m00858m"	"MAM00858"
"MAM00858x"	"3odcoa"	"CHEBI:28528"	""	""	"m00858p"	"HC01404"	"C05265"	""	"MNXM677"	"440606"	"3odcoa"	"m00858p"	"MAM00858"
"MAM00859c"	""	""	"CE4793"	""	"m00859c"	""	""	""	"MNXM166236"	""	"CE4793"	"m00859c"	"MAM00859"
"MAM00859m"	""	""	"CE4793"	""	"m00859m"	""	""	""	"MNXM166236"	""	"CE4793"	"m00859m"	"MAM00859"
"MAM00859x"	""	""	"CE4793"	""	"m00859p"	""	""	""	"MNXM166236"	""	"CE4793"	"m00859p"	"MAM00859"
"MAM00860c"	""	""	""	""	"m00860c"	""	""	""	""	""	"M00860"	"m00860c"	"MAM00860"
"MAM00861c"	""	""	"CE4850"	""	"m00861c"	""	""	""	"MNXM164261"	""	"CE4850"	"m00861c"	"MAM00861"
"MAM00862c"	""	""	""	""	"m00862c"	""	""	""	"MNXM91381"	""	"M00862"	"m00862c"	"MAM00862"
"MAM00863c"	""	""	"CE4819"	""	"m00863c"	""	""	""	"MNXM164262"	""	"CE4819"	"m00863c"	"MAM00863"
"MAM00864c"	""	""	"CE4833"	""	"m00864c"	""	""	""	"MNXM164263"	""	"CE4833"	"m00864c"	"MAM00864"
"MAM00865c"	""	""	"CE4845"	""	"m00865c"	""	""	""	"MNXM164264"	""	"CE4845"	"m00865c"	"MAM00865"
"MAM00866c"	""	""	"CE2250"	""	"m00866c"	""	""	""	"MNXM36756"	"25229584"	"CE2250"	"m00866c"	"MAM00866"
"MAM00866m"	""	""	"CE2250"	""	"m00866m"	""	""	""	"MNXM36756"	"25229584"	"CE2250"	"m00866m"	"MAM00866"
"MAM00866x"	""	""	"CE2250"	""	"m00866p"	""	""	""	"MNXM36756"	"25229584"	"CE2250"	"m00866p"	"MAM00866"
"MAM00867c"	""	""	""	""	"m00867c"	"HC01599"	"C05756"	""	"MNXM28933"	""	"HC01599"	"m00867c"	"MAM00867"
"MAM00868m"	"3oddcoa"	"CHEBI:27868"	""	""	"m00868m"	"HC01402"	"C05263"	"LMFA07050013"	"MNXM705"	"440604"	"3oddcoa"	"m00868m"	"MAM00868"
"MAM00868x"	"3oddcoa"	"CHEBI:27868"	""	""	"m00868p"	"HC01402"	"C05263"	"LMFA07050013"	"MNXM705"	"440604"	"3oddcoa"	"m00868p"	"MAM00868"
"MAM00869c"	""	""	""	""	"m00869c"	""	""	""	""	""	"M00869"	"m00869c"	"MAM00869"
"MAM00870c"	""	""	"CE4841"	""	"m00870c"	""	""	""	"MNXM164268"	""	"CE4841"	"m00870c"	"MAM00870"
"MAM00871c"	""	""	""	""	"m00871c"	""	""	""	""	""	"M00871"	"m00871c"	"MAM00871"
"MAM00872c"	""	""	"CE2251"	""	"m00872c"	""	""	""	"MNXM36762"	"25229571"	"CE2251"	"m00872c"	"MAM00872"
"MAM00872m"	""	""	"CE2251"	""	"m00872m"	""	""	""	"MNXM36762"	"25229571"	"CE2251"	"m00872m"	"MAM00872"
"MAM00872x"	""	""	"CE2251"	""	"m00872p"	""	""	""	"MNXM36762"	"25229571"	"CE2251"	"m00872p"	"MAM00872"
"MAM00873c"	""	""	""	""	"m00873c"	""	""	""	""	""	"M00873"	"m00873c"	"MAM00873"
"MAM00873m"	""	""	""	""	"m00873m"	""	""	""	""	""	"M00873"	"m00873m"	"MAM00873"
"MAM00874c"	""	""	""	""	"m00874c"	""	""	""	""	""	"M00874"	"m00874c"	"MAM00874"
"MAM00875m"	""	""	""	""	"m00875m"	""	""	""	""	""	"M00875"	"m00875m"	"MAM00875"
"MAM00876c"	""	""	""	""	"m00876c"	""	""	""	""	""	"M00876"	"m00876c"	"MAM00876"
"MAM00877m"	""	""	""	""	"m00877m"	""	""	""	"MNXM484503"	""	"M00877"	"m00877m"	"MAM00877"
"MAM00878c"	"3ohxccoa"	""	""	""	"m00878c"	""	""	""	"MNXM36758"	""	"3ohxccoa"	"m00878c"	"MAM00878"
"MAM00878x"	"3ohxccoa"	""	""	""	"m00878p"	""	""	""	"MNXM36758"	""	"3ohxccoa"	"m00878p"	"MAM00878"
"MAM00879c"	""	""	""	""	"m00879c"	""	""	""	""	""	"M00879"	"m00879c"	"MAM00879"
"MAM00879x"	""	""	""	""	"m00879p"	""	""	""	""	""	"M00879"	"m00879p"	"MAM00879"
"MAM00880c"	""	""	""	""	"m00880c"	"HC01605"	"C05762"	""	"MNXM4345"	""	"HC01605"	"m00880c"	"MAM00880"
"MAM00881c"	""	""	""	""	"m00881c"	"HC01589"	"C05746"	""	"MNXM25602"	""	"HC01589"	"m00881c"	"MAM00881"
"MAM00882m"	""	"CHEBI:27648"	""	""	"m00882m"	"HC01408"	"C05269"	"LMFA07050018"	"MNXM717"	"3082152"	"HC01408"	"m00882m"	"MAM00882"
"MAM00882x"	""	"CHEBI:27648"	""	""	"m00882p"	"HC01408"	"C05269"	"LMFA07050018"	"MNXM717"	"3082152"	"HC01408"	"m00882p"	"MAM00882"
"MAM00883m"	""	""	"CE0693"	""	"m00883m"	""	""	""	"MNXM166245"	""	"CE0693"	"m00883m"	"MAM00883"
"MAM00883x"	""	""	"CE0693"	""	"m00883p"	""	""	""	"MNXM166245"	""	"CE0693"	"m00883p"	"MAM00883"
"MAM00884m"	""	""	"CE0713"	""	"m00884m"	""	""	""	"MNXM166247"	""	"CE0713"	"m00884m"	"MAM00884"
"MAM00884x"	""	""	"CE0713"	""	"m00884p"	""	""	""	"MNXM166247"	""	"CE0713"	"m00884p"	"MAM00884"
"MAM00885m"	""	""	""	""	"m00885m"	""	""	""	""	""	"M00885"	"m00885m"	"MAM00885"
"MAM00885x"	""	""	""	""	"m00885p"	""	""	""	""	""	"M00885"	"m00885p"	"MAM00885"
"MAM00886m"	""	""	"CE0782"	""	"m00886m"	"HC10782"	""	""	"MNXM166248"	""	"CE0782;HC10782"	"m00886m"	"MAM00886"
"MAM00886x"	""	""	"CE0782"	""	"m00886p"	"HC10782"	""	""	"MNXM166248"	""	"CE0782;HC10782"	"m00886p"	"MAM00886"
"MAM00887c"	""	""	""	""	"m00887c"	""	""	""	""	""	"M00887"	"m00887c"	"MAM00887"
"MAM00887m"	""	""	""	""	"m00887m"	""	""	""	""	""	"M00887"	"m00887m"	"MAM00887"
"MAM00888c"	""	""	""	""	"m00888c"	""	""	""	""	""	"M00888"	"m00888c"	"MAM00888"
"MAM00889m"	""	""	""	""	"m00889m"	""	""	""	""	""	"M00889"	"m00889m"	"MAM00889"
"MAM00890c"	"3ohodcoa"	"CHEBI:50571"	""	"HMDB0006498"	"m00890c"	""	"C16216"	""	"MNXM513"	"22833663"	"3ohodcoa"	"m00890c"	"MAM00890"
"MAM00890m"	"3ohodcoa"	"CHEBI:50571"	""	"HMDB0006498"	"m00890m"	""	"C16216"	""	"MNXM513"	"22833663"	"3ohodcoa"	"m00890m"	"MAM00890"
"MAM00890x"	"3ohodcoa"	"CHEBI:50571"	""	"HMDB0006498"	"m00890p"	""	"C16216"	""	"MNXM513"	"22833663"	"3ohodcoa"	"m00890p"	"MAM00890"
"MAM00891c"	""	""	""	""	"m00891c"	"HC01593"	"C05750"	""	"MNXM28031"	""	"HC01593"	"m00891c"	"MAM00891"
"MAM00892m"	""	"CHEBI:28264"	""	""	"m00892m"	"HC01406"	"C05267"	"LMFA07050249"	"MNXM706"	"11966162"	"HC01406"	"m00892m"	"MAM00892"
"MAM00892x"	""	"CHEBI:28264"	""	""	"m00892p"	"HC01406"	"C05267"	"LMFA07050249"	"MNXM706"	"11966162"	"HC01406"	"m00892p"	"MAM00892"
"MAM00893m"	""	""	"CE5160"	""	"m00893m"	"HC10858"	""	""	"MNXM150997"	""	"HC10858"	"m00893m"	"MAM00893"
"MAM00893x"	""	""	"CE5160"	""	"m00893p"	"HC10858"	""	""	"MNXM150997"	""	"HC10858"	"m00893p"	"MAM00893"
"MAM00894m"	""	""	"CE0853"	""	"m00894m"	"HC10853"	""	""	"MNXM166250"	"440601"	"CE0853;HC10853"	"m00894m"	"MAM00894"
"MAM00894x"	""	""	"CE0853"	""	"m00894p"	"HC10853"	""	""	"MNXM166250"	"440601"	"CE0853;HC10853"	"m00894p"	"MAM00894"
"MAM00895m"	"3ohdcoa"	"CHEBI:15491"	""	""	"m00895m"	"HC01398"	"C05259"	"LMFA07050250"	"MNXM738"	"169621"	"3ohdcoa"	"m00895m"	"MAM00895"
"MAM00895x"	"3ohdcoa"	"CHEBI:15491"	""	""	"m00895p"	"HC01398"	"C05259"	"LMFA07050250"	"MNXM738"	"169621"	"3ohdcoa"	"m00895p"	"MAM00895"
"MAM00896c"	""	""	""	""	"m00896c"	""	""	""	""	""	"M00896"	"m00896c"	"MAM00896"
"MAM00897m"	""	""	""	""	"m00897m"	""	""	""	""	""	"M00897"	"m00897m"	"MAM00897"
"MAM00898c"	""	""	""	""	"m00898c"	""	""	""	""	""	"M00898"	"m00898c"	"MAM00898"
"MAM00899m"	""	""	""	""	"m00899m"	""	""	""	"MNXM10118"	""	"M00899"	"m00899m"	"MAM00899"
"MAM00900m"	"msa"	"CHEBI:17960"	""	""	"m00900m"	"HC00203"	"C00222"	""	"MNXM244"	"868"	"msa"	"m00900m"	"MAM00900"
"MAM00901c"	""	""	"CE4851"	""	"m00901c"	""	""	""	"MNXM164265"	""	"CE4851"	"m00901c"	"MAM00901"
"MAM00903c"	""	""	"CE4834"	""	"m00903c"	""	""	""	"MNXM164266"	""	"CE4834"	"m00903c"	"MAM00903"
"MAM00904c"	""	""	"CE2253"	""	"m00904c"	""	""	""	"MNXM36773"	"25229583"	"CE2253"	"m00904c"	"MAM00904"
"MAM00904x"	""	""	"CE2253"	""	"m00904p"	""	""	""	"MNXM36773"	"25229583"	"CE2253"	"m00904p"	"MAM00904"
"MAM00905c"	""	""	""	""	"m00905c"	"HC01602"	"C05759"	""	"MNXM26095"	""	"HC01602"	"m00905c"	"MAM00905"
"MAM00906m"	"3otdcoa"	"CHEBI:28726"	""	""	"m00906m"	"HC01400"	"C05261"	""	"MNXM707"	"11966197"	"3otdcoa"	"m00906m"	"MAM00906"
"MAM00906x"	"3otdcoa"	"CHEBI:28726"	""	""	"m00906p"	"HC01400"	"C05261"	""	"MNXM707"	"11966197"	"3otdcoa"	"m00906p"	"MAM00906"
"MAM00907c"	""	""	""	""	"m00907c"	""	""	""	""	""	"M00907"	"m00907c"	"MAM00907"
"MAM00908c"	""	""	""	""	"m00908c"	""	""	""	""	""	"M00908"	"m00908c"	"MAM00908"
"MAM00909m"	""	""	""	""	"m00909m"	""	""	""	""	""	"M00909"	"m00909m"	"MAM00909"
"MAM00910c"	""	""	""	""	"m00910c"	""	""	""	""	""	"M00910"	"m00910c"	"MAM00910"
"MAM00911m"	""	""	""	""	"m00911m"	""	""	""	""	""	"M00911"	"m00911m"	"MAM00911"
"MAM00912c"	"3padsel"	""	""	""	"m00912c"	""	"C05696"	""	"MNXM35962;MNXM92909"	"24892762"	"3padsel"	"m00912c"	"MAM00912"
"MAM00913c"	"3pg"	"CHEBI:17794"	""	""	"m00913c"	"HC00186"	"C00197"	""	"MNXM126"	"439183"	"3pg"	"m00913c"	"MAM00913"
"MAM00913m"	"3pg"	"CHEBI:17794"	""	""	"m00913m"	"HC00186"	"C00197"	""	"MNXM126"	"439183"	"3pg"	"m00913m"	"MAM00913"
"MAM00914c"	"3php"	"CHEBI:30933"	""	""	"m00914c"	"HC01082"	"C03232"	""	"MNXM541"	"105"	"3php"	"m00914c"	"MAM00914"
"MAM00915c"	""	"CHEBI:1359"	""	""	"m00915c"	""	"C03463"	""	"MNXM39835"	""	"M00915"	"m00915c"	"MAM00915"
"MAM00916c"	"pser__L"	"CHEBI:15811"	""	"HMDB0000272"	"m00916c"	"HC00621"	"C01005"	""	"MNXM379"	"68841"	"pser_L"	"m00916c"	"MAM00916"
"MAM00917c"	""	""	""	""	"m00917c"	""	"C19569"	""	"MNXM97045"	""	"M00917"	"m00917c"	"MAM00917"
"MAM00918c"	"3sala"	"CHEBI:16345"	""	""	"m00918c"	"HC00451"	"C00606"	""	"MNXM498"	"28167170"	"3sala"	"m00918c"	"MAM00918"
"MAM00918m"	"3sala"	"CHEBI:16345"	""	""	"m00918m"	"HC00451"	"C00606"	""	"MNXM498"	"28167170"	"3sala"	"m00918m"	"MAM00918"
"MAM00919c"	"3snpyr"	""	""	""	"m00919c"	""	"C05527"	""	"MNXM162632;MNXM2484"	""	"3snpyr"	"m00919c"	"MAM00919"
"MAM00919m"	"3snpyr"	""	""	""	"m00919m"	""	"C05527"	""	"MNXM162632;MNXM2484"	""	"3snpyr"	"m00919m"	"MAM00919"
"MAM00920c"	"3spyr"	"CHEBI:16894"	""	"HMDB0004045"	"m00920c"	""	"C05528"	""	"MNXM594"	"440717"	"3spyr"	"m00920c"	"MAM00920"
"MAM00920m"	"3spyr"	"CHEBI:16894"	""	"HMDB0004045"	"m00920m"	""	"C05528"	""	"MNXM594"	"440717"	"3spyr"	"m00920m"	"MAM00920"
"MAM00921c"	""	"CHEBI:28895"	""	""	"m00921c"	""	"C01368"	""	"MNXM2184"	"101543"	"3ump"	"m00921c"	"MAM00921"
"MAM00922c"	"3uib"	"CHEBI:1670"	""	"HMDB0002031"	"m00922c"	"HC01371"	"C05100"	""	"MNXM1015"	"160663"	"3uib"	"m00922c"	"MAM00922"
"MAM00923c"	"cala"	"CHEBI:18261"	""	"HMDB0000026"	"m00923c"	"HC00975"	"C02642"	""	"MNXM802"	"111"	"cala"	"m00923c"	"MAM00923"
"MAM00924c"	"42A3HP24DB"	""	""	""	"m00924c"	"HC01547"	"C05645"	""	"MNXM163203;MNXM4997"	"440741"	"42A3HP24DB"	"m00924c"	"MAM00924"
"MAM00925c"	""	""	"CE3086"	""	"m00925c"	""	""	""	"MNXM166294"	"10948689"	"CE3086"	"m00925c"	"MAM00925"
"MAM00926c"	"4aphdob"	"CHEBI:17442"	""	"HMDB0000978"	"m00926c"	""	"C01252"	""	"MNXM163204"	"472"	"4aphdob"	"m00926c"	"MAM00926"
"MAM00927c"	""	""	""	""	"m00927c"	""	"C19602"	""	"MNXM14691"	""	"M00927"	"m00927c"	"MAM00927"
"MAM00928c"	""	""	""	""	"m00928c"	""	"C19605"	""	"MNXM14692"	""	"M00928"	"m00928c"	"MAM00928"
"MAM00929c"	""	""	""	""	"m00929c"	""	"C19574"	""	"MNXM4356"	""	"M00929"	"m00929c"	"MAM00929"
"MAM00930c"	""	""	""	""	"m00930c"	""	"C19603"	""	"MNXM14693"	""	"M00930"	"m00930c"	"MAM00930"
"MAM00931c"	""	""	""	""	"m00931c"	""	"C19564"	""	"MNXM10159"	""	"M00931"	"m00931c"	"MAM00931"
"MAM00932c"	""	""	""	""	"m00932c"	""	"C16453"	""	"MNXM5537"	""	"M00932"	"m00932c"	"MAM00932"
"MAM00932e"	""	""	""	""	"m00932s"	""	"C16453"	""	"MNXM5537"	""	"M00932"	"m00932s"	"MAM00932"
"MAM00933c"	"dmnoncoa"	""	"CE4805"	""	"m00933c"	""	""	"LMFA07050034"	"MNXM37161;MNXM6100"	""	"CE4805;dmnoncoa"	"dmnoncoa_c;m00933c;MAM03554c"	"MAM00933"
"MAM00933m"	"dmnoncoa"	""	"CE4805"	""	"m00933m"	""	""	"LMFA07050034"	"MNXM37161"	""	"CE4805"	"m00933m"	"MAM00933"
"MAM00933x"	"dmnoncoa"	""	"CE4805"	""	"m00933p"	""	""	"LMFA07050034"	"MNXM37161"	""	"CE4805"	"m00933p"	"MAM00933"
"MAM00934m"	""	""	"CE4806"	""	"m00934m"	""	""	""	"MNXM468808"	""	"CE4806"	"m00934m"	"MAM00934"
"MAM00935m"	""	""	"CE5310"	""	"m00935m"	""	""	""	""	""	"CE5310"	"m00935m"	"MAM00935"
"MAM00936m"	""	""	"CE5322"	""	"m00936m"	""	""	""	""	""	"CE5322"	"m00936m"	"MAM00936"
"MAM00937c"	""	""	""	""	"m00937c"	""	""	"LMST01010222"	"MNXM6859"	""	"M00937"	"m00937c"	"MAM00937"
"MAM00938c"	""	""	""	""	"m00938c"	""	""	"LMST01010223"	"MNXM10143"	""	"M00938"	"m00938c"	"MAM00938"
"MAM00939c"	""	""	""	""	"m00939c"	""	""	"LMST01010124"	"MNXM484820;MNXM6860"	""	"M00939"	"m00939c"	"MAM00939"
"MAM00940c"	""	""	""	""	"m00940c"	""	""	"LMST01010224"	"MNXM10144"	""	"M00940"	"m00940c"	"MAM00940"
"MAM00941c"	"44mctr"	"CHEBI:17813"	""	"HMDB0001023"	"m00941c"	"HC01808"	"C11455"	"LMST01010149"	"MNXM1036;MNXM97101"	"443212"	"44mctr"	"m00941c"	"MAM00941"
"MAM00942c"	""	""	""	""	"m00942c"	""	""	"LMST01010277"	"MNXM6861"	""	"M00942"	"m00942c"	"MAM00942"
"MAM00943c"	""	""	"CE2314"	"HMDB0006840"	"m00943c"	""	"C15915"	"LMST01010225"	"MNXM5534"	"23724604"	"CE2314"	"m00943c"	"MAM00943"
"MAM00944c"	""	""	""	""	"m00944c"	""	"C14855"	""	"MNXM10148"	""	"M00944"	"m00944c"	"MAM00944"
"MAM00945c"	""	""	"CE2174"	""	"m00945c"	""	""	""	"MNXM151064"	"3016280"	"CE2174"	"m00945c"	"MAM00945"
"MAM00946c"	"dtdp4d6dg"	"CHEBI:16620"	""	"HMDB0001399"	"m00946c"	""	"C11907"	""	"MNXM451"	"443496"	"dtdp4d6dg"	"m00946c"	"MAM00946"
"MAM00947c"	"46dhoxquin"	"CHEBI:28799"	""	""	"m00947c"	""	"C05639"	""	"MNXM9072"	""	"46dhoxquin"	"m00947c"	"MAM00947"
"MAM00948x"	""	"CHEBI:15495"	""	""	"m00948p"	""	"C07296"	""	"MNXM4355"	""	"tmtrdcoa"	"m00948p"	"MAM00948"
"MAM00949c"	"48dhoxquin"	"CHEBI:28883"	""	""	"m00949c"	""	"C05637"	""	"MNXM9073"	"440737"	"48dhoxquin"	"m00949c"	"MAM00949"
"MAM00950c"	"dmnoncrn"	""	""	""	"m00950c"	""	""	""	"MNXM8138"	""	"dmnoncrn"	"m00950c"	"MAM00950"
"MAM00950m"	"dmnoncrn"	""	""	""	"m00950m"	""	""	""	"MNXM8138"	""	"dmnoncrn"	"m00950m"	"MAM00950"
"MAM00951c"	""	""	""	""	"m00951c"	""	"C19563"	""	"MNXM10162"	""	"M00951"	"m00951c"	"MAM00951"
"MAM00952c"	"4aabutn"	"CHEBI:17645"	""	"HMDB0003681"	"m00952c"	""	"C02946"	""	"MNXM2083"	"18189"	"4aabutn"	"m00952c"	"MAM00952"
"MAM00953c"	""	""	""	""	"m00953c"	"HC02108"	"C15808"	""	"MNXM2089;MNXM37762;MNXM7449"	""	"4mzym_int1"	"m00953c"	"MAM00953"
"MAM00954c"	""	""	""	""	"m00954c"	""	""	""	"MNXM10246"	""	"M00954"	"m00954c"	"MAM00954"
"MAM00955c"	""	""	""	""	"m00955c"	""	""	""	"MNXM6904"	""	"M00955"	"m00955c"	"MAM00955"
"MAM00956c"	""	""	""	""	"m00956c"	""	""	""	"MNXM10248"	""	"M00956"	"m00956c"	"MAM00956"
"MAM00957c"	""	""	""	""	"m00957c"	""	""	""	"MNXM6905"	""	"M00957"	"m00957c"	"MAM00957"
"MAM00958c"	""	""	""	""	"m00958c"	""	""	""	"MNXM10253"	""	"M00958"	"m00958c"	"MAM00958"
"MAM00959c"	""	""	""	""	"m00959c"	""	""	""	"MNXM89470"	""	"M00959"	"m00959c"	"MAM00959"
"MAM00960c"	""	""	""	""	"m00960c"	""	""	""	"MNXM10255"	""	"M00960"	"m00960c"	"MAM00960"
"MAM00961c"	""	""	""	""	"m00961c"	""	""	""	"MNXM6114"	""	"M00961"	"m00961c"	"MAM00961"
